     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.597000e+02   -1.966700e-01    2.666400e+00    3.092810e-04    3.210552e-04    3.328295e-04    2.627000e+00    2.629405e+00    2.631811e+00    9.015168e-01    9.848319e-02    3.211949e-14    1.120725e+03    4.780319e-02    3.880548e-02    1.368610e-03
    3.596000e+02   -7.930000e-02    2.655300e+00    3.118396e-04    3.236772e-04    3.355149e-04    2.626451e+00    2.628870e+00    2.631288e+00    9.007125e-01    9.928750e-02    3.591420e-14    1.131132e+03    4.891135e-02    6.339930e-03    6.985679e-04
    3.595000e+02   -6.725000e-01    2.651000e+00    3.144181e-04    3.263193e-04    3.382205e-04    2.625898e+00    2.628330e+00    2.630761e+00    8.999021e-01    1.000979e-01    3.984443e-14    1.141642e+03    5.004584e-02    4.526953e-01    5.139394e-04
    3.594000e+02   -1.477130e+00    2.648600e+00    3.170166e-04    3.289814e-04    3.409463e-04    2.625341e+00    2.627786e+00    2.630230e+00    8.990854e-01    1.009146e-01    4.418124e-14    1.152256e+03    5.120730e-02    2.182885e+00    4.332283e-04
    3.593000e+02    3.747000e-01    2.658600e+00    3.196352e-04    3.316639e-04    3.436926e-04    2.624780e+00    2.627238e+00    2.629695e+00    8.982626e-01    1.017374e-01    4.987330e-14    1.162975e+03    5.239638e-02    1.401516e-01    9.835866e-04
    3.592000e+02   -1.877000e-02    2.655400e+00    3.222739e-04    3.343667e-04    3.464595e-04    2.624215e+00    2.626686e+00    2.629156e+00    8.974335e-01    1.025665e-01    5.529431e-14    1.173799e+03    5.361376e-02    3.649768e-04    8.245163e-04
    3.591000e+02    9.830900e-01    2.652600e+00    3.249333e-04    3.370900e-04    3.492466e-04    2.623645e+00    2.626129e+00    2.628613e+00    8.965982e-01    1.034018e-01    6.179952e-14    1.184730e+03    5.486013e-02    9.658033e-01    7.007024e-04
    3.590000e+02   -6.103200e-01    2.658700e+00    3.276127e-04    3.398338e-04    3.520550e-04    2.623072e+00    2.625569e+00    2.628065e+00    8.957565e-01    1.042435e-01    6.911789e-14    1.195768e+03    5.613618e-02    3.729054e-01    1.097689e-03
    3.589000e+02    1.130660e+00    2.654500e+00    3.303130e-04    3.425985e-04    3.548839e-04    2.622494e+00    2.625004e+00    2.627514e+00    8.949084e-01    1.050916e-01    7.711388e-14    1.206917e+03    5.744266e-02    1.277617e+00    8.700272e-04
    3.588000e+02   -3.177260e+00    2.651200e+00    3.330341e-04    3.453839e-04    3.577337e-04    2.621912e+00    2.624435e+00    2.626958e+00    8.940540e-01    1.059460e-01    8.605855e-14    1.218175e+03    5.878030e-02    1.009718e+01    7.163823e-04
    3.587000e+02   -1.770460e+00    2.652400e+00    3.357759e-04    3.481903e-04    3.606047e-04    2.621325e+00    2.623861e+00    2.626398e+00    8.931932e-01    1.068068e-01    9.635847e-14    1.229544e+03    6.014985e-02    3.135762e+00    8.144572e-04
    3.586000e+02    1.489080e+00    2.655700e+00    3.385386e-04    3.510178e-04    3.634971e-04    2.620734e+00    2.623284e+00    2.625833e+00    8.923258e-01    1.076742e-01    1.080136e-13    1.241027e+03    6.155211e-02    2.216314e+00    1.050822e-03
    3.585000e+02    1.351300e+00    2.644400e+00    3.413225e-04    3.538665e-04    3.664105e-04    2.620139e+00    2.622702e+00    2.625265e+00    8.914520e-01    1.085480e-01    1.207530e-13    1.252622e+03    6.298787e-02    1.825055e+00    4.708203e-04
