     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.603000e+02   -9.459000e-03    2.674200e-01    8.076600e-03    3.269608e-06    3.411670e-06    3.554674e-06    2.652834e-01    2.653120e-01    2.653406e-01    2.128276e-03    2.220463e-03    2.312651e-03    9.895348e-01    1.046525e-02    0.000000e+00    1.060374e+03    4.167312e-02    8.953724e-05    4.443602e-06    3.429434e-05
    3.602000e+02   -1.304110e-01    2.676800e-01    7.873100e-03    3.299733e-06    3.442831e-06    3.587323e-06    2.652770e-01    2.653057e-01    2.653345e-01    2.147881e-03    2.240744e-03    2.333608e-03    9.894392e-01    1.056083e-02    0.000000e+00    1.070188e+03    4.263593e-02    1.700793e-02    5.637153e-06    3.172343e-05
    3.601000e+02   -1.350750e-01    2.671800e-01    7.706800e-03    3.330172e-06    3.474290e-06    3.620359e-06    2.652704e-01    2.652994e-01    2.653284e-01    2.167675e-03    2.261219e-03    2.354763e-03    9.893427e-01    1.065733e-02    0.000000e+00    1.080099e+03    4.362153e-02    1.824619e-02    3.536705e-06    2.965435e-05
    3.600000e+02   -1.195130e-01    2.675100e-01    8.277100e-03    3.360968e-06    3.506050e-06    3.653754e-06    2.652638e-01    2.652930e-01    2.653222e-01    2.187660e-03    2.281890e-03    2.376120e-03    9.892452e-01    1.075476e-02    0.000000e+00    1.090107e+03    4.463049e-02    1.428420e-02    4.915167e-06    3.594254e-05
    3.599000e+02   -1.797970e-01    2.677900e-01    7.941500e-03    3.392077e-06    3.538115e-06    3.687566e-06    2.652571e-01    2.652865e-01    2.653159e-01    2.207839e-03    2.302759e-03    2.397680e-03    9.891469e-01    1.085311e-02    0.000000e+00    1.100213e+03    4.566336e-02    3.232823e-02    6.267431e-06    3.179539e-05
    3.598000e+02   -7.130700e-02    2.679400e-01    8.605800e-03    3.423538e-06    3.570487e-06    3.721769e-06    2.652504e-01    2.652800e-01    2.653096e-01    2.228212e-03    2.323829e-03    2.419445e-03    9.890476e-01    1.095242e-02    0.000000e+00    1.110419e+03    4.672073e-02    5.085198e-03    7.075663e-06    3.946316e-05
    3.597000e+02   -1.337690e-01    2.673600e-01    8.045200e-03    3.455375e-06    3.603170e-06    3.756357e-06    2.652435e-01    2.652734e-01    2.653032e-01    2.248783e-03    2.345100e-03    2.441417e-03    9.889473e-01    1.105267e-02    1.694066e-16    1.120725e+03    4.780319e-02    1.789511e-02    4.353909e-06    3.249114e-05
    3.596000e+02   -2.360820e-01    2.672600e-01    8.354300e-03    3.487545e-06    3.636165e-06    3.791388e-06    2.652367e-01    2.652667e-01    2.652968e-01    2.269552e-03    2.366575e-03    2.463598e-03    9.888461e-01    1.115388e-02    0.000000e+00    1.131132e+03    4.891135e-02    5.573643e-02    3.973070e-06    3.585285e-05
    3.595000e+02   -3.381160e-01    2.690800e-01    7.783800e-03    3.520078e-06    3.669478e-06    3.826847e-06    2.652297e-01    2.652600e-01    2.652903e-01    2.290522e-03    2.388256e-03    2.485990e-03    9.887439e-01    1.125607e-02    1.694066e-16    1.141642e+03    5.004584e-02    1.143249e-01    1.459220e-05    2.911190e-05
    3.594000e+02   -1.145320e-01    2.686600e-01    8.404600e-03    3.552999e-06    3.703109e-06    3.862730e-06    2.652227e-01    2.652532e-01    2.652837e-01    2.311695e-03    2.410145e-03    2.508595e-03    9.886408e-01    1.135923e-02    3.388132e-16    1.152256e+03    5.120730e-02    1.311843e-02    1.160599e-05    3.593349e-05
