     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.593000e+02    1.501980e+00    4.535900e+00    1.143996e-03    1.182400e-03    1.220804e-03    4.406210e+00    4.412935e+00    4.419661e+00    8.186505e-01    1.813495e-01    2.240910e-12    1.162975e+03    5.239638e-02    2.252393e+00    1.512036e-02
    3.592000e+02    5.410000e-01    4.535500e+00    1.152475e-03    1.191020e-03    1.229565e-03    4.404675e+00    4.411426e+00    4.418176e+00    8.173284e-01    1.826716e-01    2.411266e-12    1.173799e+03    5.361376e-02    2.913937e-01    1.539448e-02
    3.591000e+02    1.924160e+00    4.536000e+00    1.161006e-03    1.199692e-03    1.238377e-03    4.403132e+00    4.409907e+00    4.416682e+00    8.159984e-01    1.840016e-01    2.594631e-12    1.184730e+03    5.486013e-02    3.697776e+00    1.589946e-02
    3.590000e+02    9.226400e-01    4.525700e+00    1.169588e-03    1.208414e-03    1.247240e-03    4.401580e+00    4.408379e+00    4.415179e+00    8.146606e-01    1.853394e-01    2.791549e-12    1.195768e+03    5.613618e-02    8.490362e-01    1.376412e-02
    3.589000e+02   -9.178900e-01    4.536900e+00    1.178223e-03    1.217188e-03    1.256154e-03    4.400019e+00    4.406843e+00    4.413667e+00    8.133149e-01    1.866851e-01    3.002969e-12    1.206917e+03    5.744266e-02    8.447580e-01    1.691484e-02
    3.588000e+02    1.055370e+00    4.522800e+00    1.186909e-03    1.226013e-03    1.265118e-03    4.398449e+00    4.405297e+00    4.412146e+00    8.119613e-01    1.880387e-01    3.230651e-12    1.218175e+03    5.878030e-02    1.111220e+00    1.380686e-02
    3.587000e+02   -1.289180e+00    4.530700e+00    1.195647e-03    1.234890e-03    1.274133e-03    4.396871e+00    4.403743e+00    4.410615e+00    8.105999e-01    1.894001e-01    3.474868e-12    1.229544e+03    6.014985e-02    1.665171e+00    1.611810e-02
    3.586000e+02   -1.223400e+00    4.528800e+00    1.204438e-03    1.243819e-03    1.283199e-03    4.395283e+00    4.402179e+00    4.409076e+00    8.092305e-01    1.907695e-01    3.737787e-12    1.241027e+03    6.155211e-02    1.499753e+00    1.603279e-02
    3.585000e+02    8.179500e-01    4.520000e+00    1.213281e-03    1.252799e-03    1.292317e-03    4.393686e+00    4.400607e+00    4.407527e+00    8.078532e-01    1.921468e-01    4.020357e-12    1.252622e+03    6.298787e-02    6.669943e-01    1.425474e-02
    3.584000e+02    1.320940e+00    4.525500e+00    1.222175e-03    1.261831e-03    1.301486e-03    4.392081e+00    4.399025e+00    4.405970e+00    8.064680e-01    1.935320e-01    4.324205e-12    1.264333e+03    6.445795e-02    1.741551e+00    1.599590e-02
    3.583000e+02   -1.142010e+00    4.531500e+00    1.231123e-03    1.270914e-03    1.310705e-03    4.390466e+00    4.397434e+00    4.404403e+00    8.050748e-01    1.949252e-01    4.650143e-12    1.276160e+03    6.596318e-02    1.307091e+00    1.797359e-02
    3.582000e+02   -3.924900e-01    4.524400e+00    1.240123e-03    1.280050e-03    1.319976e-03    4.388843e+00    4.395835e+00    4.402826e+00    8.036737e-01    1.963263e-01    5.000340e-12    1.288104e+03    6.750444e-02    1.550548e-01    1.652906e-02
