     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.592000e+02    5.410000e-01    4.535500e+00    4.328006e-06    5.825170e-06    7.322334e-06    4.484198e+00    4.490450e+00    4.496702e+00    8.832680e-01    1.167320e-01    1.513585e-08    3.277753e-02    2.987971e-05    0.000000e+00
    3.591000e+02    1.924160e+00    4.536000e+00    4.454665e-06    5.992943e-06    7.531222e-06    4.483097e+00    4.489351e+00    4.495604e+00    8.823774e-01    1.176226e-01    1.557178e-08    3.300193e-02    3.079227e-05    0.000000e+00
    3.590000e+02    9.226400e-01    4.525700e+00    4.585295e-06    6.165562e-06    7.745828e-06    4.481989e+00    4.488244e+00    4.494498e+00    8.814812e-01    1.185188e-01    1.602030e-08    3.322800e-02    3.173323e-05    0.000000e+00
    3.589000e+02   -9.178900e-01    4.536900e+00    4.720051e-06    6.343164e-06    7.966277e-06    4.480874e+00    4.487130e+00    4.493386e+00    8.805793e-01    1.194207e-01    1.648178e-08    3.345575e-02    3.270350e-05    0.000000e+00
    3.588000e+02    1.055370e+00    4.522800e+00    4.857314e-06    6.525895e-06    8.194477e-06    4.479752e+00    4.486009e+00    4.492267e+00    8.796717e-01    1.203283e-01    1.695658e-08    3.368518e-02    3.370400e-05    0.000000e+00
    3.587000e+02   -1.289180e+00    4.530700e+00    5.000669e-06    6.713903e-06    8.427136e-06    4.478623e+00    4.484882e+00    4.491140e+00    8.787584e-01    1.212416e-01    1.744509e-08    3.391632e-02    3.473569e-05    0.000000e+00
    3.586000e+02   -1.223400e+00    4.528800e+00    5.147690e-06    6.907339e-06    8.666988e-06    4.477486e+00    4.483747e+00    4.490007e+00    8.778393e-01    1.221607e-01    1.794770e-08    3.414917e-02    3.579956e-05    0.000000e+00
    3.585000e+02    8.179500e-01    4.520000e+00    5.297828e-06    7.106361e-06    8.914893e-06    4.476343e+00    4.482605e+00    4.488866e+00    8.769145e-01    1.230855e-01    1.846483e-08    3.438375e-02    3.689664e-05    0.000000e+00
    3.584000e+02    1.320940e+00    4.525500e+00    5.452350e-06    7.311129e-06    9.169908e-06    4.475192e+00    4.481456e+00    4.487719e+00    8.759840e-01    1.240160e-01    1.899689e-08    3.462008e-02    3.802798e-05    0.000000e+00
    3.583000e+02   -1.142010e+00    4.531500e+00    5.611535e-06    7.521809e-06    9.432084e-06    4.474034e+00    4.480299e+00    4.486565e+00    8.750476e-01    1.249524e-01    1.954431e-08    3.485816e-02    3.919467e-05    0.000000e+00
    3.582000e+02   -3.924900e-01    4.524400e+00    5.776960e-06    7.738572e-06    9.700185e-06    4.472869e+00    4.479136e+00    4.485403e+00    8.741055e-01    1.258945e-01    2.010754e-08    3.509802e-02    4.039784e-05    0.000000e+00
    3.581000e+02    2.354310e+00    4.519000e+00    5.945290e-06    7.961594e-06    9.977898e-06    4.471696e+00    4.477965e+00    4.484235e+00    8.731576e-01    1.268424e-01    2.068703e-08    3.533965e-02    4.163864e-05    0.000000e+00
    3.580000e+02   -1.878280e+00    4.523500e+00    6.121134e-06    8.191054e-06    1.026097e-05    4.470516e+00    4.476788e+00    4.483059e+00    8.722038e-01    1.277962e-01    2.128325e-08    3.558310e-02    4.291827e-05    0.000000e+00
    3.579000e+02   -1.790240e+00    4.518300e+00    6.299161e-06    8.427138e-06    1.055511e-05    4.469329e+00    4.475603e+00    4.481876e+00    8.712442e-01    1.287558e-01    2.189668e-08    3.582835e-02    4.423799e-05    0.000000e+00
    3.578000e+02   -1.100600e-01    4.523400e+00    6.484396e-06    8.670038e-06    1.085568e-05    4.468135e+00    4.474410e+00    4.480686e+00    8.702788e-01    1.297212e-01    2.252781e-08    3.607544e-02    4.559905e-05    0.000000e+00
    3.577000e+02   -6.437800e-01    4.522200e+00    6.674959e-06    8.919949e-06    1.116494e-05    4.466933e+00    4.473211e+00    4.479489e+00    8.693075e-01    1.306925e-01    2.317717e-08    3.632436e-02    4.700279e-05    0.000000e+00
    3.576000e+02   -1.650410e+00    4.500600e+00    6.870503e-06    9.177074e-06    1.148364e-05    4.465724e+00    4.472004e+00    4.478284e+00    8.683303e-01    1.316697e-01    2.384527e-08    3.657515e-02    4.845056e-05    0.000000e+00
    3.575000e+02    2.786350e+00    4.517800e+00    7.070716e-06    9.441621e-06    1.181253e-05    4.464508e+00    4.470790e+00    4.477073e+00    8.673473e-01    1.326527e-01    2.453266e-08    3.682781e-02    4.994377e-05    0.000000e+00
    3.574000e+02    3.492550e+00    4.499500e+00    7.278935e-06    9.713803e-06    1.214867e-05    4.463284e+00    4.469569e+00    4.475854e+00    8.663583e-01    1.336417e-01    2.523988e-08    3.708236e-02    5.148388e-05    0.000000e+00
    3.573000e+02    5.269300e-01    4.514100e+00    7.492969e-06    9.993841e-06    1.249471e-05    4.462053e+00    4.468341e+00    4.474628e+00    8.653634e-01    1.346366e-01    2.596752e-08    3.733881e-02    5.307238e-05    0.000000e+00
    3.572000e+02   -1.225920e+00    4.515800e+00    7.712350e-06    1.028196e-05    1.285157e-05    4.460815e+00    4.467105e+00    4.473395e+00    8.643626e-01    1.356374e-01    2.671616e-08    3.759718e-02    5.471082e-05    0.000000e+00
    3.571000e+02    4.359300e-01    4.507500e+00    7.938437e-06    1.057840e-05    1.321835e-05    4.459569e+00    4.465861e+00    4.472154e+00    8.633559e-01    1.366441e-01    2.748640e-08    3.785748e-02    5.640081e-05    0.000000e+00
    3.570000e+02    6.018100e-01    4.501500e+00    8.171178e-06    1.088338e-05    1.359559e-05    4.458316e+00    4.464611e+00    4.470906e+00    8.623432e-01    1.376568e-01    2.827887e-08    3.811973e-02    5.814399e-05    0.000000e+00
    3.569000e+02    9.742300e-01    4.509500e+00    8.410550e-06    1.119717e-05    1.398380e-05    4.457055e+00    4.463353e+00    4.469651e+00    8.613245e-01    1.386755e-01    2.909420e-08    3.838395e-02    5.994207e-05    0.000000e+00
    3.568000e+02   -5.429200e-01    4.497400e+00    8.657235e-06    1.152002e-05    1.438280e-05    4.455787e+00    4.462088e+00    4.468389e+00    8.602999e-01    1.397001e-01    2.993306e-08    3.865015e-02    6.179680e-05    0.000000e+00
    3.567000e+02   -1.442790e+00    4.504000e+00    8.911773e-06    1.185217e-05    1.479257e-05    4.454511e+00    4.460815e+00    4.467119e+00    8.592693e-01    1.407307e-01    3.079612e-08    3.891835e-02    6.371002e-05    0.000000e+00
    3.566000e+02    4.300000e-02    4.497800e+00    9.172426e-06    1.219391e-05    1.521540e-05    4.453228e+00    4.459535e+00    4.465842e+00    8.582327e-01    1.417673e-01    3.168409e-08    3.918856e-02    6.568359e-05    0.000000e+00
    3.565000e+02   -7.934000e-01    4.493800e+00    9.440609e-06    1.254551e-05    1.565041e-05    4.451938e+00    4.458248e+00    4.464557e+00    8.571901e-01    1.428099e-01    3.259766e-08    3.946080e-02    6.771946e-05    0.000000e+00
    3.564000e+02    2.060000e-03    4.476100e+00    9.718140e-06    1.290725e-05    1.609636e-05    4.450640e+00    4.456953e+00    4.463266e+00    8.561415e-01    1.438585e-01    3.353759e-08    3.973508e-02    6.981963e-05    0.000000e+00
    3.563000e+02    2.409590e+00    4.493100e+00    1.000400e-05    1.327943e-05    1.655486e-05    4.449335e+00    4.455650e+00    4.461966e+00    8.550869e-01    1.449131e-01    3.450463e-08    4.001143e-02    7.198616e-05    0.000000e+00
    3.562000e+02   -7.253900e-01    4.492800e+00    1.029721e-05    1.366234e-05    1.702746e-05    4.448022e+00    4.454341e+00    4.460660e+00    8.540262e-01    1.459737e-01    3.549956e-08    4.028985e-02    7.422119e-05    0.000000e+00
    3.561000e+02   -5.846000e-02    4.491500e+00    1.059887e-05    1.405629e-05    1.751370e-05    4.446701e+00    4.453023e+00    4.459346e+00    8.529596e-01    1.470404e-01    3.652319e-08    4.057037e-02    7.652693e-05    0.000000e+00
    3.560000e+02    5.958700e-01    4.495800e+00    1.090981e-05    1.446160e-05    1.801338e-05    4.445373e+00    4.451699e+00    4.458024e+00    8.518868e-01    1.481131e-01    3.757633e-08    4.085300e-02    7.890566e-05    0.000000e+00
    3.559000e+02    1.600300e-01    4.491300e+00    1.123000e-05    1.487860e-05    1.852719e-05    4.444038e+00    4.450367e+00    4.456696e+00    8.508080e-01    1.491919e-01    3.865984e-08    4.113777e-02    8.135973e-05    0.000000e+00
    3.558000e+02    4.427800e-01    4.487300e+00    1.155874e-05    1.530762e-05    1.905650e-05    4.442695e+00    4.449027e+00    4.455359e+00    8.497232e-01    1.502768e-01    3.977459e-08    4.142467e-02    8.389156e-05    0.000000e+00
    3.557000e+02    2.639550e+00    4.489700e+00    1.189759e-05    1.574901e-05    1.960042e-05    4.441344e+00    4.447680e+00    4.454015e+00    8.486323e-01    1.513677e-01    4.092147e-08    4.171375e-02    8.650367e-05    0.000000e+00
    3.556000e+02    1.022740e+00    4.485800e+00    1.224753e-05    1.620312e-05    2.015871e-05    4.439986e+00    4.446325e+00    4.452664e+00    8.475353e-01    1.524646e-01    4.210142e-08    4.200500e-02    8.919866e-05    0.000000e+00
    3.555000e+02   -3.387700e-01    4.474900e+00    1.260517e-05    1.667033e-05    2.073548e-05    4.438621e+00    4.444963e+00    4.451306e+00    8.464323e-01    1.535677e-01    4.331538e-08    4.229845e-02    9.197919e-05    0.000000e+00
    3.554000e+02   -1.905290e+00    4.484000e+00    1.297504e-05    1.715099e-05    2.132695e-05    4.437248e+00    4.443594e+00    4.449939e+00    8.453231e-01    1.546768e-01    4.456433e-08    4.259412e-02    9.484804e-05    0.000000e+00
    3.553000e+02    4.794500e-01    4.481000e+00    1.335624e-05    1.764552e-05    2.193479e-05    4.435867e+00    4.442216e+00    4.448566e+00    8.442079e-01    1.557920e-01    4.584927e-08    4.289203e-02    9.780806e-05    0.000000e+00
    3.552000e+02   -7.670700e-01    4.473500e+00    1.374767e-05    1.815429e-05    2.256091e-05    4.434479e+00    4.440832e+00    4.447185e+00    8.430866e-01    1.569134e-01    4.717125e-08    4.319219e-02    1.008622e-04    0.000000e+00
    3.551000e+02    1.535340e+00    4.482700e+00    1.415105e-05    1.867772e-05    2.320439e-05    4.433083e+00    4.439439e+00    4.445796e+00    8.419592e-01    1.580408e-01    4.853131e-08    4.349462e-02    1.040135e-04    0.000000e+00
    3.550000e+02    3.294500e-01    4.463600e+00    1.456610e-05    1.921624e-05    2.386637e-05    4.431680e+00    4.438040e+00    4.444400e+00    8.408256e-01    1.591743e-01    4.993056e-08    4.379934e-02    1.072651e-04    0.000000e+00
    3.549000e+02    1.329250e+00    4.473800e+00    1.499246e-05    1.977026e-05    2.454806e-05    4.430269e+00    4.436632e+00    4.442996e+00    8.396860e-01    1.603139e-01    5.137012e-08    4.410637e-02    1.106203e-04    0.000000e+00
    3.548000e+02    1.853380e+00    4.472700e+00    1.543201e-05    2.034025e-05    2.524849e-05    4.428850e+00    4.435218e+00    4.441585e+00    8.385403e-01    1.614596e-01    5.285114e-08    4.441572e-02    1.140825e-04    0.000000e+00
    3.547000e+02   -1.054630e+00    4.461100e+00    1.588472e-05    2.092665e-05    2.596859e-05    4.427424e+00    4.433795e+00    4.440166e+00    8.373885e-01    1.626115e-01    5.437482e-08    4.472742e-02    1.176550e-04    0.000000e+00
    3.546000e+02   -4.693300e-01    4.468500e+00    1.635039e-05    2.152994e-05    2.670950e-05    4.425991e+00    4.432365e+00    4.438740e+00    8.362305e-01    1.637694e-01    5.594239e-08    4.504149e-02    1.213415e-04    0.000000e+00
    3.545000e+02    2.578400e-01    4.463700e+00    1.683026e-05    2.215061e-05    2.747096e-05    4.424549e+00    4.430928e+00    4.437306e+00    8.350664e-01    1.649335e-01    5.755509e-08    4.535794e-02    1.251457e-04    0.000000e+00
    3.544000e+02    1.893200e-01    4.468200e+00    1.732305e-05    2.278914e-05    2.825524e-05    4.423101e+00    4.429483e+00    4.435865e+00    8.338963e-01    1.661037e-01    5.921423e-08    4.567679e-02    1.290714e-04    0.000000e+00
    3.543000e+02   -1.403290e+00    4.466300e+00    1.783136e-05    2.344606e-05    2.906077e-05    4.421644e+00    4.428030e+00    4.434416e+00    8.327199e-01    1.672800e-01    6.092113e-08    4.599807e-02    1.331226e-04    0.000000e+00
    3.542000e+02   -2.005610e+00    4.468200e+00    1.835437e-05    2.412189e-05    2.988941e-05    4.420180e+00    4.426570e+00    4.432960e+00    8.315375e-01    1.684624e-01    6.267718e-08    4.632179e-02    1.373033e-04    0.000000e+00
    3.541000e+02    5.033000e-01    4.459200e+00    1.889158e-05    2.481717e-05    3.074277e-05    4.418709e+00    4.425102e+00    4.431496e+00    8.303490e-01    1.696510e-01    6.448376e-08    4.664798e-02    1.416178e-04    0.000000e+00
    3.540000e+02   -8.925000e-01    4.464200e+00    1.944675e-05    2.553246e-05    3.161818e-05    4.417230e+00    4.423627e+00    4.430025e+00    8.291543e-01    1.708456e-01    6.634234e-08    4.697664e-02    1.460705e-04    0.000000e+00
