     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.600000e+02   -1.195130e-01    2.675100e-01    8.277100e-03    1.072788e-08    1.444472e-08    1.816156e-08    2.566620e-01    2.570120e-01    2.573620e-01    1.532170e-03    1.613960e-03    1.695750e-03    9.931658e-01    6.834161e-03    7.506496e-10    3.104059e-02    2.350254e-05    0.000000e+00
    3.599000e+02   -1.797970e-01    2.677900e-01    7.941500e-03    1.102538e-08    1.488681e-08    1.874824e-08    2.566576e-01    2.570075e-01    2.573575e-01    1.546863e-03    1.629275e-03    1.711687e-03    9.931010e-01    6.899011e-03    7.736236e-10    3.125215e-02    2.421710e-05    0.000000e+00
    3.598000e+02   -7.130700e-02    2.679400e-01    8.605800e-03    1.132557e-08    1.534267e-08    1.935978e-08    2.566532e-01    2.570031e-01    2.573529e-01    1.561696e-03    1.644742e-03    1.727788e-03    9.930355e-01    6.964504e-03    7.973134e-10    3.146528e-02    2.495380e-05    0.000000e+00
    3.597000e+02   -1.337690e-01    2.673600e-01    8.045200e-03    1.171398e-08    1.581272e-08    1.991146e-08    2.566487e-01    2.569985e-01    2.573484e-01    1.576685e-03    1.660363e-03    1.744041e-03    9.929693e-01    7.030647e-03    8.217405e-10    3.167998e-02    2.571335e-05    0.000000e+00
    3.596000e+02   -2.360820e-01    2.672600e-01    8.354300e-03    1.210950e-08    1.629743e-08    2.048536e-08    2.566442e-01    2.569939e-01    2.573437e-01    1.591825e-03    1.676138e-03    1.760451e-03    9.929026e-01    7.097447e-03    8.469295e-10    3.189627e-02    2.649645e-05    0.000000e+00
    3.595000e+02   -3.381160e-01    2.690800e-01    7.783800e-03    1.244491e-08    1.679727e-08    2.114964e-08    2.566396e-01    2.569893e-01    2.573390e-01    1.607114e-03    1.692070e-03    1.777026e-03    9.928351e-01    7.164910e-03    8.729047e-10    3.211416e-02    2.730385e-05    0.000000e+00
    3.594000e+02   -1.145320e-01    2.686600e-01    8.404600e-03    1.286106e-08    1.731270e-08    2.176433e-08    2.566349e-01    2.569846e-01    2.573343e-01    1.622560e-03    1.708160e-03    1.793761e-03    9.927670e-01    7.233043e-03    8.996899e-10    3.233365e-02    2.813633e-05    0.000000e+00
    3.593000e+02   -1.768580e-01    2.672100e-01    8.702200e-03    1.330815e-08    1.784422e-08    2.238029e-08    2.566303e-01    2.569799e-01    2.573295e-01    1.638158e-03    1.724411e-03    1.810663e-03    9.926981e-01    7.301853e-03    9.273113e-10    3.255477e-02    2.899468e-05    0.000000e+00
    3.592000e+02   -2.637280e-01    2.682800e-01    8.106600e-03    1.370046e-08    1.839235e-08    2.308423e-08    2.566256e-01    2.569751e-01    2.573247e-01    1.653912e-03    1.740822e-03    1.827732e-03    9.926287e-01    7.371347e-03    9.557960e-10    3.277753e-02    2.987971e-05    0.000000e+00
    3.591000e+02   -2.212400e-02    2.683100e-01    8.989600e-03    1.411965e-08    1.895761e-08    2.379556e-08    2.566208e-01    2.569703e-01    2.573198e-01    1.669823e-03    1.757397e-03    1.844972e-03    9.925585e-01    7.441532e-03    9.851710e-10    3.300193e-02    3.079227e-05    0.000000e+00
    3.590000e+02   -1.344270e-01    2.676600e-01    8.489000e-03    1.459227e-08    1.954054e-08    2.448880e-08    2.566160e-01    2.569655e-01    2.573149e-01    1.685898e-03    1.774137e-03    1.862376e-03    9.924876e-01    7.512414e-03    1.015464e-09    3.322800e-02    3.173323e-05    0.000000e+00
    3.589000e+02   -2.020960e-01    2.674200e-01    9.708200e-03    1.503557e-08    2.014172e-08    2.524787e-08    2.566112e-01    2.569606e-01    2.573099e-01    1.702133e-03    1.791043e-03    1.879953e-03    9.924160e-01    7.584001e-03    1.046706e-09    3.345575e-02    3.270350e-05    0.000000e+00
    3.588000e+02   -9.799300e-02    2.682300e-01    9.001100e-03    1.550827e-08    2.076171e-08    2.601516e-08    2.566063e-01    2.569556e-01    2.573049e-01    1.718530e-03    1.808117e-03    1.897705e-03    9.923437e-01    7.656301e-03    1.078925e-09    3.368518e-02    3.370400e-05    0.000000e+00
    3.587000e+02   -7.688600e-02    2.671000e-01    9.546700e-03    1.597959e-08    2.140112e-08    2.682264e-08    2.566013e-01    2.569506e-01    2.572999e-01    1.735093e-03    1.825362e-03    1.915630e-03    9.922707e-01    7.729320e-03    1.112153e-09    3.391632e-02    3.473569e-05    0.000000e+00
    3.586000e+02   -4.534800e-02    2.682400e-01    8.620200e-03    1.648054e-08    2.206055e-08    2.764056e-08    2.565963e-01    2.569455e-01    2.572947e-01    1.751821e-03    1.842778e-03    1.933734e-03    9.921969e-01    7.803066e-03    1.146422e-09    3.414917e-02    3.579956e-05    0.000000e+00
    3.585000e+02    2.019000e-03    2.676500e-01    9.226000e-03    1.694075e-08    2.274068e-08    2.854060e-08    2.565913e-01    2.569404e-01    2.572896e-01    1.768719e-03    1.860367e-03    1.952015e-03    9.921224e-01    7.877547e-03    1.181766e-09    3.438375e-02    3.689664e-05    0.000000e+00
    3.584000e+02   -2.566830e-01    2.681600e-01    8.278100e-03    1.746512e-08    2.344212e-08    2.941913e-08    2.565862e-01    2.569353e-01    2.572843e-01    1.785786e-03    1.878131e-03    1.970477e-03    9.920472e-01    7.952768e-03    1.218218e-09    3.462008e-02    3.802798e-05    0.000000e+00
    3.583000e+02   -1.006960e-01    2.675100e-01    8.048600e-03    1.802062e-08    2.416558e-08    3.031054e-08    2.565810e-01    2.569300e-01    2.572791e-01    1.803024e-03    1.896073e-03    1.989122e-03    9.919713e-01    8.028740e-03    1.255814e-09    3.485816e-02    3.919467e-05    0.000000e+00
    3.582000e+02   -2.534290e-01    2.678700e-01    9.093600e-03    1.861517e-08    2.491175e-08    3.120832e-08    2.565758e-01    2.569248e-01    2.572738e-01    1.820437e-03    1.914193e-03    2.007949e-03    9.918945e-01    8.105468e-03    1.294590e-09    3.509802e-02    4.039784e-05    0.000000e+00
    3.581000e+02   -3.694240e-01    2.680300e-01    9.095000e-03    1.919536e-08    2.568136e-08    3.216736e-08    2.565705e-01    2.569195e-01    2.572684e-01    1.838025e-03    1.932494e-03    2.026962e-03    9.918170e-01    8.182961e-03    1.334584e-09    3.533965e-02    4.163864e-05    0.000000e+00
    3.580000e+02   -1.733660e-01    2.679300e-01    9.053700e-03    1.981811e-08    2.647515e-08    3.313218e-08    2.565652e-01    2.569141e-01    2.572629e-01    1.855792e-03    1.950977e-03    2.046162e-03    9.917388e-01    8.261227e-03    1.375835e-09    3.558310e-02    4.291827e-05    0.000000e+00
    3.579000e+02    1.254060e-01    2.686600e-01    9.086100e-03    2.045401e-08    2.729390e-08    3.413378e-08    2.565599e-01    2.569087e-01    2.572575e-01    1.873733e-03    1.969645e-03    2.065556e-03    9.916597e-01    8.340273e-03    1.418384e-09    3.582835e-02    4.423799e-05    0.000000e+00
    3.578000e+02    9.039600e-02    2.683600e-01    9.694100e-03    2.107085e-08    2.813841e-08    3.520597e-08    2.565545e-01    2.569032e-01    2.572519e-01    1.891860e-03    1.988498e-03    2.085137e-03    9.915799e-01    8.420107e-03    1.462270e-09    3.607544e-02    4.559905e-05    0.000000e+00
    3.577000e+02   -1.312160e-01    2.681100e-01    9.036300e-03    2.176224e-08    2.900951e-08    3.625677e-08    2.565490e-01    2.568977e-01    2.572463e-01    1.910166e-03    2.007540e-03    2.104914e-03    9.914993e-01    8.500738e-03    1.507539e-09    3.632436e-02    4.700279e-05    0.000000e+00
    3.576000e+02   -1.794600e-01    2.671800e-01    8.913700e-03    2.243100e-08    2.990803e-08    3.738506e-08    2.565435e-01    2.568921e-01    2.572407e-01    1.928656e-03    2.026772e-03    2.124888e-03    9.914178e-01    8.582173e-03    1.554232e-09    3.657515e-02    4.845056e-05    0.000000e+00
