     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.599000e+02   -6.710006e-01    1.045150e+00    2.041100e-02    2.617293e-07    3.530655e-07    4.444017e-07    9.771875e-01    9.790438e-01    9.809001e-01             NaN    1.654861e-02             NaN    9.672757e-01    3.272434e-02    3.669555e-09    3.125215e-02    2.421710e-05    0.000000e+00
    3.598000e+02   -4.261660e-01    1.044440e+00    1.939520e-02    2.698032e-07    3.637030e-07    4.576029e-07    9.771106e-01    9.789662e-01    9.808218e-01             NaN    1.669773e-02             NaN    9.669808e-01    3.301921e-02    3.780115e-09    3.146528e-02    2.495380e-05    0.000000e+00
    3.597000e+02   -5.294400e-01    1.044740e+00    1.985780e-02    2.781428e-07    3.746652e-07    4.711877e-07    9.770330e-01    9.788879e-01    9.807428e-01             NaN    1.684819e-02             NaN    9.666833e-01    3.331673e-02    3.894049e-09    3.167998e-02    2.571335e-05    0.000000e+00
    3.596000e+02   -4.891140e-01    1.044140e+00    1.923050e-02    2.865678e-07    3.859622e-07    4.853565e-07    9.769548e-01    9.788089e-01    9.806631e-01             NaN    1.699999e-02             NaN    9.663831e-01    3.361692e-02    4.011463e-09    3.189627e-02    2.649645e-05    0.000000e+00
    3.595000e+02   -5.513960e-01    1.043540e+00    2.059430e-02    2.955154e-07    3.976040e-07    4.996927e-07    9.768758e-01    9.787292e-01    9.805827e-01             NaN    1.715316e-02             NaN    9.660802e-01    3.391980e-02    4.132462e-09    3.211416e-02    2.730385e-05    0.000000e+00
    3.594000e+02   -7.284866e-01    1.044060e+00    1.995140e-02    3.045171e-07    4.096017e-07    5.146863e-07    9.767961e-01    9.786488e-01    9.805016e-01             NaN    1.730769e-02             NaN    9.657746e-01    3.422539e-02    4.257158e-09    3.233365e-02    2.813633e-05    0.000000e+00
    3.593000e+02    2.841650e-01    1.044360e+00    2.096460e-02    3.138785e-07    4.219660e-07    5.300535e-07    9.767156e-01    9.785677e-01    9.804197e-01             NaN    1.746361e-02             NaN    9.654663e-01    3.453372e-02    4.385666e-09    3.255477e-02    2.899468e-05    0.000000e+00
    3.592000e+02   -3.509950e-01    1.044410e+00    2.027590e-02    3.234700e-07    4.347083e-07    5.459467e-07    9.766345e-01    9.784858e-01    9.803371e-01             NaN    1.762092e-02             NaN    9.651552e-01    3.484480e-02    4.518102e-09    3.277753e-02    2.987971e-05    0.000000e+00
    3.591000e+02   -4.743220e-01    1.044340e+00    2.150370e-02    3.332889e-07    4.478403e-07    5.623918e-07    9.765526e-01    9.784032e-01    9.802538e-01             NaN    1.777965e-02             NaN    9.648413e-01    3.515866e-02    4.654588e-09    3.300193e-02    3.079227e-05    0.000000e+00
    3.590000e+02   -4.971050e-01    1.043810e+00    1.989160e-02    3.436056e-07    4.613741e-07    5.791427e-07    9.764700e-01    9.783199e-01    9.801697e-01             NaN    1.793978e-02             NaN    9.645247e-01    3.547533e-02    4.795250e-09    3.322800e-02    3.173323e-05    0.000000e+00
    3.589000e+02   -7.235000e-01    1.044050e+00    2.015760e-02    3.541678e-07    4.753220e-07    5.964763e-07    9.763866e-01    9.782358e-01    9.800850e-01             NaN    1.810135e-02             NaN    9.642052e-01    3.579482e-02    4.940217e-09    3.345575e-02    3.270350e-05    0.000000e+00
    3.588000e+02   -2.524220e-01    1.043870e+00    2.134560e-02    3.650819e-07    4.896969e-07    6.143119e-07    9.763025e-01    9.781510e-01    9.799994e-01             NaN    1.826436e-02             NaN    9.638828e-01    3.611717e-02    5.089621e-09    3.368518e-02    3.370400e-05    0.000000e+00
    3.587000e+02   -5.156070e-01    1.043970e+00    2.068490e-02    3.762757e-07    5.045120e-07    6.327483e-07    9.762177e-01    9.780654e-01    9.799131e-01             NaN    1.842882e-02             NaN    9.635576e-01    3.644239e-02    5.243600e-09    3.391632e-02    3.473569e-05    0.000000e+00
    3.586000e+02   -2.703520e-01    1.043490e+00    2.141870e-02    3.878255e-07    5.197809e-07    6.517363e-07    9.761320e-01    9.779790e-01    9.798261e-01             NaN    1.859475e-02             NaN    9.632295e-01    3.677050e-02    5.402296e-09    3.414917e-02    3.579956e-05    0.000000e+00
    3.585000e+02   -8.605330e-01    1.043020e+00    2.202660e-02    3.999032e-07    5.355176e-07    6.711319e-07    9.760456e-01    9.778919e-01    9.797382e-01             NaN    1.876215e-02             NaN    9.628985e-01    3.710153e-02    5.565854e-09    3.438375e-02    3.689664e-05    0.000000e+00
    3.584000e+02   -6.569717e-01    1.042730e+00    2.210720e-02    4.119860e-07    5.517367e-07    6.914873e-07    9.759585e-01    9.778040e-01    9.796496e-01             NaN    1.893104e-02             NaN    9.625645e-01    3.743551e-02    5.734426e-09    3.462008e-02    3.802798e-05    0.000000e+00
    3.583000e+02   -5.626220e-01    1.042280e+00    2.161540e-02    4.247574e-07    5.684529e-07    7.121485e-07    9.758705e-01    9.777154e-01    9.795602e-01             NaN    1.910143e-02             NaN    9.622275e-01    3.777245e-02    5.908165e-09    3.485816e-02    3.919467e-05    0.000000e+00
    3.582000e+02   -5.806150e-01    1.043070e+00    2.188820e-02    4.376772e-07    5.856820e-07    7.336867e-07    9.757818e-01    9.776259e-01    9.794701e-01             NaN    1.927334e-02             NaN    9.618876e-01    3.811239e-02    6.087233e-09    3.509802e-02    4.039784e-05    0.000000e+00
    3.581000e+02   -4.562640e-01    1.042810e+00    2.194730e-02    4.513022e-07    6.034394e-07    7.555767e-07    9.756922e-01    9.775357e-01    9.793791e-01             NaN    1.944677e-02             NaN    9.615447e-01    3.845535e-02    6.271794e-09    3.533965e-02    4.163864e-05    0.000000e+00
    3.580000e+02   -7.453262e-01    1.041940e+00    2.259200e-02    4.653427e-07    6.217419e-07    7.781411e-07    9.756019e-01    9.774446e-01    9.792873e-01             NaN    1.962174e-02             NaN    9.611987e-01    3.880134e-02    6.462018e-09    3.558310e-02    4.291827e-05    0.000000e+00
    3.579000e+02   -2.298960e-01    1.041870e+00    2.200760e-02    4.794209e-07    6.406062e-07    8.017915e-07    9.755107e-01    9.773528e-01    9.791948e-01             NaN    1.979826e-02             NaN    9.608496e-01    3.915040e-02    6.658083e-09    3.582835e-02    4.423799e-05    0.000000e+00
    3.578000e+02   -5.955600e-01    1.041520e+00    2.261620e-02    4.945034e-07    6.600497e-07    8.255959e-07    9.754188e-01    9.772601e-01    9.791014e-01             NaN    1.997634e-02             NaN    9.604974e-01    3.950254e-02    6.860167e-09    3.607544e-02    4.559905e-05    0.000000e+00
    3.577000e+02   -2.011290e-01    1.042100e+00    2.300030e-02    5.097594e-07    6.800904e-07    8.504214e-07    9.753260e-01    9.771666e-01    9.790072e-01             NaN    2.015599e-02             NaN    9.601422e-01    3.985781e-02    7.068458e-09    3.632436e-02    4.700279e-05    0.000000e+00
